gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.893635456128363249e-03,3.041671902070922431e-02,-1.831110442843141353e-02
-4.536102883380338513e-02,-3.857207436902996417e-02,-4.234527680941878314e-02
-3.363492221609991253e-03,7.524544644620563549e-02,2.056238721120545038e-02
1.784072601223110621e-02,4.266252891510608630e-02,5.514546491718941984e-02
7.790996373146528986e-02,2.156093050265550301e-02,-2.219960620221014466e-02
-3.104699394492641071e-03,-1.975002180089704875e-03,6.254369924563717327e-03
3.902545269948438922e-03,-2.567783364057353926e-02,-2.727099962774966885e-02
4.040393668661870080e-02,-1.763321706467661440e-02,-5.110328228739698803e-02
5.484623048051324307e-02,3.577417083573310175e-02,4.766247426514831631e-02
-5.678039936401799159e-02,1.345760873597467468e-02,-7.192075908057650154e-05
4.793390780137152252e-02,1.240527222765231037e-02,5.461869227734846011e-02
-2.406836976867924097e-02,2.560611699878928213e-02,1.008029802976103673e-01
8.222019847103335943e-02,-3.298373016753613357e-02,-7.142227047801853745e-03
-2.591551952331590941e-02,-8.751172543523347627e-03,9.766791935975278546e-03
4.520352979667862509e-02,9.392277848149913674e-04,-3.421760243744559945e-03
-1.203840365775175197e-02,6.926554379223109903e-02,7.407431274639538670e-04
-5.344945609562927295e-03,-4.381336179013976817e-02,-3.164336263334233124e-02
-2.487362996198271350e-02,3.946603138489418461e-02,1.847640173286208692e-02
-6.312153303876018307e-02,-2.097434237416725294e-04,-4.092807650987366833e-03
-6.192996356019365989e-02,-1.036754638574341122e-02,-4.022347146849863248e-02
-1.155863123518547676e-02,-3.812295409962887516e-02,-3.555502950701095594e-02
1.821315967435779490e-02,2.015832741907449058e-02,-1.912080299235225170e-02
2.916931220715963252e-02,-5.098804417708378139e-02,-4.268581622531483766e-02
-1.664549994342943984e-02,-2.898423707509666450e-02,-2.472975243856452218e-02
-7.965853896775411044e-03,-8.286578402210544037e-02,1.091049845639638144e-03
-3.547254658870233231e-03,3.812601215461888793e-02,7.963887689201179856e-03
-3.715145917516316648e-02,2.566234206453286287e-02,2.187407185056252854e-02
2.495764532234046387e-02,5.571899334077356353e-02,-4.195600196435728818e-02
2.665590659779631250e-02,-4.276198928273147043e-02,-5.270138892664381208e-02
3.062318214014493264e-02,-4.932874012726158608e-02,-9.519784404193577798e-02
4.283808013957935562e-02,-3.746244493590711322e-02,4.941625133726799957e-02
1.429877287207766655e-02,-4.466068004745132880e-02,4.315530048992476803e-02
3.821847238654533380e-03,-1.640838347398440242e-02,-3.498256116488672463e-02
2.741231575711269852e-02,-5.813016264637317632e-02,-4.557935140229277954e-02
1.518691713935126260e-02,-5.383712072298625986e-03,-2.336440612836190867e-02
-3.542995772653208947e-02,6.170843431044295557e-02,-3.132519479775928289e-02
-1.601734596541215180e-02,3.336053083017709309e-02,-9.709788303716725827e-03
-5.300616832632992770e-02,1.854932430089474560e-02,-3.899714502886497680e-02
-2.094237049789862345e-02,-2.962117679262496125e-02,-1.036280401990761491e-01
-3.454605639310677490e-02,-4.916502310131996845e-02,-3.092321248946019313e-02
2.415236595666172062e-02,-4.785074383396525216e-02,8.429719852309544570e-02
-8.375074189920670917e-03,1.000825843566954983e-02,5.511139272725131683e-02
2.257617948441179717e-03,-9.166709548722427880e-02,5.618739378531018708e-02
-3.586938394608281400e-02,2.232254010374089270e-02,6.515592920987135772e-02
1.921032383670570609e-02,1.169504038184408963e-02,-4.667986331593686894e-02
-1.247947082665241264e-02,-1.811158738330129539e-02,5.838917774341285429e-03
-3.280757066852242609e-02,4.871461863466319125e-02,6.288191790671047998e-03
-2.917232051166154284e-03,2.852497666184512781e-02,1.130519678021582597e-02
-2.329877815462602988e-02,-2.813707314753819896e-02,-9.565971836660920602e-02
9.478731436746729716e-03,4.285779308926616904e-02,-1.220500833367277674e-02
