pos_lat (deg),pos_lon (deg),pos_alt (m)
2.999999999999999645e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.000000018042002026e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.000000036084292887e+01,1.199999999999999432e+02,5.719898059886136137e-07
3.000000054126068605e+01,1.199999999999990052e+02,5.267112274945684959e-07
3.000000072168498377e+01,1.199999999999980531e+02,3.069387776773306687e-07
3.000000090211999648e+01,1.199999999999999147e+02,3.746901037082927408e-07
3.000000108255658304e+01,1.199999999999928662e+02,1.487930062225062342e-06
3.000000126298764513e+01,1.199999999999740652e+02,2.496610044725029247e-06
3.000000144342525843e+01,1.199999999999522089e+02,3.668940587280789399e-06
3.000000162386290015e+01,1.199999999999261746e+02,4.933251216266533227e-06
3.000000180429860563e+01,1.199999999999021867e+02,5.024831611917136091e-06
3.000000198473196278e+01,1.199999999998881322e+02,4.759170676307902441e-06
3.000000216517439000e+01,1.199999999998749587e+02,3.118087053978970393e-06
3.000000234561557022e+01,1.199999999998638174e+02,1.795143345833946901e-06
3.000000252605434881e+01,1.199999999998424585e+02,8.769451315853435417e-07
3.000000270649433887e+01,1.199999999998162110e+02,2.564133404556934524e-08
3.000000288693076911e+01,1.199999999997858993e+02,-1.962513321182660635e-07
3.000000306736359690e+01,1.199999999997541522e+02,2.486745568744586291e-07
3.000000324778495653e+01,1.199999999997160813e+02,2.811099491394909550e-07
3.000000342820369070e+01,1.199999999996765894e+02,1.857924232983063953e-07
3.000000360861898230e+01,1.199999999996366711e+02,4.790075799033881189e-07
3.000000378903405718e+01,1.199999999995984723e+02,3.642607504110645350e-07
3.000000396945034709e+01,1.199999999995582272e+02,3.467877111166022432e-07
3.000000414986845598e+01,1.199999999995087165e+02,3.985631543545552296e-07
3.000000433028574420e+01,1.199999999994584812e+02,6.502526186869083666e-07
3.000000451070273400e+01,1.199999999994050768e+02,7.350656112893008649e-07
3.000000469112541168e+01,1.199999999993511892e+02,7.597456167077356155e-07
3.000000487154603235e+01,1.199999999993004707e+02,1.754049793127906373e-07
3.000000505196110367e+01,1.199999999992385114e+02,-1.135122239558430014e-06
3.000000523237587657e+01,1.199999999991863859e+02,-2.337942868598892273e-06
3.000000541278595989e+01,1.199999999991325126e+02,-3.734623237102216239e-06
3.000000559318746696e+01,1.199999999990839683e+02,-4.732679078153653618e-06
3.000000577358303744e+01,1.199999999990388773e+02,-5.614047033607429977e-06
3.000000595397195724e+01,1.199999999989850323e+02,-6.245073361005616642e-06
3.000000613435419439e+01,1.199999999989323669e+02,-7.242298852067642104e-06
3.000000631473586665e+01,1.199999999988784793e+02,-8.589566453956998216e-06
3.000000649511280315e+01,1.199999999988251744e+02,-9.558397749925481778e-06
3.000000667548641076e+01,1.199999999987712584e+02,-1.102934835206381596e-05
3.000000685585785476e+01,1.199999999987152819e+02,-1.253638741438420337e-05
3.000000703622651699e+01,1.199999999986551700e+02,-1.385435987828105846e-05
3.000000721658712877e+01,1.199999999985988381e+02,-1.427783573587533618e-05
3.000000739693938812e+01,1.199999999985504218e+02,-1.403737793407728271e-05
3.000000757729088363e+01,1.199999999985107735e+02,-1.416607077806783238e-05
3.000000775764137373e+01,1.199999999984698604e+02,-1.348159432568403445e-05
3.000000793798982457e+01,1.199999999984285921e+02,-1.285969570222910183e-05
3.000000811833583469e+01,1.199999999983839416e+02,-1.184705314962843134e-05
3.000000829867661167e+01,1.199999999983486703e+02,-1.046252229296745834e-05
3.000000847901355527e+01,1.199999999983104857e+02,-8.861327974917403825e-06
3.000000865935054151e+01,1.199999999982858014e+02,-8.063998852782046744e-06
3.000000883969329024e+01,1.199999999982747028e+02,-7.625950728160300467e-06
