ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.583642771100824416e-03,-1.803940597336575898e-05,-2.147977640394145831e-03
3.583642764337980659e-03,-1.803940597286188280e-05,-2.147977651677138600e-03
3.583642757575136034e-03,-1.803940597235800661e-05,-2.147977662960131803e-03
3.583642750812292711e-03,-1.803940597185412704e-05,-2.147977674243125006e-03
3.583642744049448086e-03,-1.803940597135025425e-05,-2.147977685526116908e-03
3.583642737286604329e-03,-1.803940597084637129e-05,-2.147977696809109244e-03
3.583642730523760572e-03,-1.803940597034249849e-05,-2.147977708092102880e-03
3.583642723760916381e-03,-1.803940596983861892e-05,-2.147977719375095216e-03
3.583642716998072623e-03,-1.803940596933474613e-05,-2.147977730658087118e-03
3.583642710235228866e-03,-1.803940596883086317e-05,-2.147977741941080754e-03
3.583642703472384242e-03,-1.803940596832698698e-05,-2.147977753224073090e-03
3.583642696709540484e-03,-1.803940596782311080e-05,-2.147977764507065426e-03
3.583642689946695860e-03,-1.803940596731923462e-05,-2.147977775790057761e-03
3.583642683183851669e-03,-1.803940596681535843e-05,-2.147977787073050530e-03
3.583642676421007044e-03,-1.803940596631147547e-05,-2.147977798356042866e-03
3.583642669658163287e-03,-1.803940596580760607e-05,-2.147977809639035635e-03
3.583642662895319530e-03,-1.803940596530372311e-05,-2.147977820922027537e-03
3.583642656132474038e-03,-1.803940596479984692e-05,-2.147977832205020306e-03
3.583642649369630281e-03,-1.803940596429597074e-05,-2.147977843488013076e-03
3.583642642606785656e-03,-1.803940596379209456e-05,-2.147977854771004978e-03
3.583642635843941899e-03,-1.803940596328821498e-05,-2.147977866053997747e-03
3.583642629081097274e-03,-1.803940596278433880e-05,-2.147977877336990082e-03
3.583642622318251782e-03,-1.803940596228046262e-05,-2.147977888619982418e-03
3.583642615555408025e-03,-1.803940596177658305e-05,-2.147977899902974754e-03
3.583642608792562967e-03,-1.803940596127270347e-05,-2.147977911185967089e-03
3.583642602029718342e-03,-1.803940596076882729e-05,-2.147977922468959425e-03
3.583642595266873284e-03,-1.803940596026495111e-05,-2.147977933751951760e-03
3.583642588504029093e-03,-1.803940595976108170e-05,-2.147977945034943662e-03
3.583642581741184035e-03,-1.803940595925719535e-05,-2.147977956317935998e-03
3.583642574978339410e-03,-1.803940595875331917e-05,-2.147977967600928333e-03
3.583642568215494786e-03,-1.803940595824944299e-05,-2.147977978883920235e-03
3.583642561452650161e-03,-1.803940595774556680e-05,-2.147977990166912571e-03
3.583642554689804669e-03,-1.803940595724168723e-05,-2.147978001449905340e-03
3.583642547926960045e-03,-1.803940595673781105e-05,-2.147978012732896808e-03
3.583642541164114553e-03,-1.803940595623393148e-05,-2.147978024015888710e-03
3.583642534401269928e-03,-1.803940595573005529e-05,-2.147978035298880612e-03
3.583642527638424436e-03,-1.803940595522617911e-05,-2.147978046581873381e-03
3.583642520875579811e-03,-1.803940595472230293e-05,-2.147978057864864850e-03
3.583642514112734320e-03,-1.803940595421842335e-05,-2.147978069147856751e-03
3.583642507349889695e-03,-1.803940595371454717e-05,-2.147978080430848653e-03
3.583642500587043769e-03,-1.803940595321066760e-05,-2.147978091713841423e-03
3.583642493824199145e-03,-1.803940595270679819e-05,-2.147978102996832891e-03
3.583642487061353653e-03,-1.803940595220291184e-05,-2.147978114279824359e-03
3.583642480298508161e-03,-1.803940595169903566e-05,-2.147978125562816695e-03
3.583642473535662669e-03,-1.803940595119515948e-05,-2.147978136845808596e-03
3.583642466772818044e-03,-1.803940595069128329e-05,-2.147978148128800498e-03
3.583642460009972119e-03,-1.803940595018740372e-05,-2.147978159411791967e-03
3.583642453247127060e-03,-1.803940594968352754e-05,-2.147978170694784736e-03
3.583642446484281135e-03,-1.803940594917965136e-05,-2.147978181977775770e-03
3.583642439721435643e-03,-1.803940594867577517e-05,-2.147978193260768106e-03
3.583642432958590151e-03,-1.803940594817189560e-05,-2.147978204543759140e-03
3.583642426195744659e-03,-1.803940594766801942e-05,-2.147978215826750609e-03
3.583642419432898733e-03,-1.803940594716414323e-05,-2.147978227109742944e-03
3.583642412670053241e-03,-1.803940594666026366e-05,-2.147978238392734412e-03
3.583642405907207749e-03,-1.803940594615638409e-05,-2.147978249675725881e-03
3.583642399144362257e-03,-1.803940594565251468e-05,-2.147978260958717349e-03
3.583642392381516332e-03,-1.803940594514863172e-05,-2.147978272241709251e-03
3.583642385618670840e-03,-1.803940594464475554e-05,-2.147978283524701153e-03
3.583642378855824481e-03,-1.803940594414087936e-05,-2.147978294807692621e-03
3.583642372092979422e-03,-1.803940594363699979e-05,-2.147978306090684089e-03
3.583642365330133063e-03,-1.803940594313312021e-05,-2.147978317373675124e-03
3.583642358567286704e-03,-1.803940594262924742e-05,-2.147978328656666592e-03
3.583642351804441645e-03,-1.803940594212536785e-05,-2.147978339939658494e-03
3.583642345041595286e-03,-1.803940594162149844e-05,-2.147978351222649528e-03
3.583642338278748927e-03,-1.803940594111761209e-05,-2.147978362505640997e-03
3.583642331515903001e-03,-1.803940594061373591e-05,-2.147978373788633332e-03
