Yaw (deg),Pitch (deg),Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.719560697539805078e-05,-9.445472986182035507e-06,-8.454486192830685653e-04
3.812129174250888822e-04,-5.002277492118665711e-05,-1.422511863051346536e-03
1.352029686943680576e-03,8.387828068836279943e-04,-1.923411374019588392e-03
1.290154359287299301e-03,5.063250303110907293e-04,-2.751700581588077763e-03
1.148200507769437002e-03,2.695513984126120190e-04,-2.978069715207494212e-03
1.176377257730869567e-03,3.468605952660791004e-04,-2.753930789902363490e-03
1.289076601129813138e-03,1.830031119681771847e-04,-3.141534914992400937e-03
9.036010500890870366e-04,5.936400016471378178e-04,-3.637407036382691618e-03
1.152747739664809409e-03,7.550984436288759845e-04,-3.858181027913703490e-03
1.845244253042038719e-03,1.022983886796057472e-03,-3.308271695427129726e-03
2.091790513089522314e-03,9.499266577044970100e-04,-3.284150629958466037e-03
1.695273643476629798e-03,7.126495206163507975e-04,-2.365060919714677239e-03
1.494938951783466403e-03,1.175147472885595566e-03,-2.224089394532837664e-03
1.463416992341704621e-03,8.721369496350674403e-04,-3.071621386272529227e-03
1.371747247866235333e-03,7.476322114692404751e-04,-2.724573159225152693e-03
2.179449402383909148e-03,1.128500567430239677e-03,-3.029266143732677313e-03
2.303105813287915915e-03,8.535838490734143228e-04,-3.479979585514413228e-03
2.167069687001994989e-03,5.350100634201929682e-04,-3.910711764674666344e-03
1.734331523400270804e-03,1.337235791196229829e-03,-4.551806117189139723e-03
1.872857856736751328e-03,1.919587373768650088e-03,-4.187115520217921626e-03
2.313270956065758329e-03,1.912176751742721914e-03,-4.070867042758829178e-03
2.250075262798287724e-03,2.617538454259835459e-03,-3.817987666821914643e-03
2.488623959704828765e-03,2.866233752319063965e-03,-3.940746827046893823e-03
2.695584491916125022e-03,2.257334960005214809e-03,-3.777786869241836053e-03
2.532064616245311393e-03,1.993418165828094585e-03,-3.634282934033138558e-03
2.715528243562466675e-03,2.023858196565544131e-03,-3.803890551692844929e-03
2.889869189473771947e-03,1.919853288541957049e-03,-3.737202377070997054e-03
2.750483307930550597e-03,2.316669137698971950e-03,-3.680744224269332388e-03
2.605588388987881230e-03,1.620196758081817118e-03,-3.520304124757901634e-03
3.182712810683980317e-03,1.382794171509859390e-03,-4.120006400801196761e-03
2.647300965903059359e-03,7.731304199508028845e-04,-4.441640381555274526e-03
2.486411005449508035e-03,1.053279363941805359e-03,-3.928588789286536521e-03
2.369181900762505101e-03,7.452719522444700576e-04,-3.531730962410157930e-03
2.034261533274743256e-03,7.206707847319897536e-04,-3.327722523977008455e-03
2.001961958325343145e-03,6.309181215483992272e-04,-3.042490821424906951e-03
1.946347670701517943e-03,4.759165604067768667e-04,-3.145815738379043828e-03
8.652030627247789740e-04,-4.437887288529414071e-04,-2.820691958255783054e-03
3.429977265320001390e-04,-1.608562843974188292e-04,-2.831752030555888863e-03
3.811291427613982597e-04,-3.728904948231367999e-04,-3.619163294425780959e-03
7.226024013576627398e-04,-7.881808147826199328e-05,-3.467446231204451314e-03
1.156729479028675671e-03,2.961769277866860110e-04,-4.177380798009500129e-03
6.977292938570574081e-04,4.085145733676122447e-04,-3.883703894056377177e-03
4.894476996161966319e-04,3.240824255315364450e-04,-4.110384157240023865e-03
8.793697082363500627e-04,1.055020120472852877e-03,-3.949914795252323745e-03
7.704303524211452260e-04,1.398121734059088253e-03,-4.044105697524895578e-03
4.236732386873769455e-04,1.861079446839074064e-03,-3.716451331939319737e-03
4.987711694364535412e-04,1.967020006470062213e-03,-3.483253729236318857e-03
1.101533568756898592e-03,2.450201457336597787e-03,-3.960178448509925342e-03
8.991809492520858645e-04,2.899911610312030322e-03,-3.897994309609621906e-03
8.920645628625686495e-05,3.399307124083416568e-03,-3.296607954401532207e-03
1.837984443769740382e-04,4.403022653174734277e-03,-2.992084853685552694e-03
3.625810712023210610e-04,4.372327728581432670e-03,-3.462796719265534475e-03
6.433521210159339572e-04,4.046918424558385886e-03,-3.296509743159758109e-03
5.556614924480771534e-04,4.489475548840374773e-03,-3.354748190509774901e-03
4.125999888391920995e-04,4.340698926027977862e-03,-3.647178810875395961e-03
-1.184649606127576970e-04,3.984274985121853338e-03,-3.623904680227969279e-03
-6.699799083418859916e-04,4.596277688862269485e-03,-3.305330710471969004e-03
-1.022337962469845474e-03,4.906835344810796251e-03,-3.019197113402701665e-03
-1.163896221355001804e-03,5.069163427544647917e-03,-3.521514359908333065e-03
-8.331109355115824504e-04,5.567023453532968930e-03,-3.985925331496038490e-03
-7.436558345508796500e-04,6.093208826370185953e-03,-3.954639358935786719e-03
-3.572240707966646534e-04,5.689717164331181860e-03,-3.817380991284099068e-03
-5.765750284409578829e-04,6.104844730289035737e-03,-3.338149052686640965e-03
-2.679196096215176893e-04,5.749943031242522005e-03,-4.112036115968610052e-03
-1.105989416632245561e-03,5.901852483819556433e-03,-3.978047456054471277e-03
-7.659213360897269320e-04,6.043305124391642504e-03,-3.924272242547929140e-03
-8.946484745682110667e-04,6.080774764963117751e-03,-3.382908317074521595e-03
-3.816167749682154546e-04,6.403838282312519087e-03,-4.122920640382902492e-03
1.489259002835336505e-04,6.450098918617477688e-03,-3.716984671266230101e-03
-9.664271186175313197e-06,6.250856151147381017e-03,-3.759420549995429704e-03
-5.506719720934764341e-04,6.081347444526312429e-03,-3.586027327976927179e-03
-1.003035577843754611e-03,6.518893837654439298e-03,-3.342926539031862519e-03
-7.524366387819818357e-04,5.821637171948546713e-03,-2.872109226296557308e-03
-1.554005409120451451e-04,5.472050749652733991e-03,-2.349626073130761054e-03
-5.181523079710135139e-05,6.021283668606604647e-03,-2.215266349980837303e-03
1.287556981699820695e-04,5.869204853439779178e-03,-2.642133432035217999e-03
-5.448851288357386524e-05,5.526731520202108824e-03,-3.488954104448624503e-03
3.759097321656993339e-04,5.918595661294394697e-03,-3.263911184285384244e-03
8.951490305577600214e-04,6.575471156015592206e-03,-3.254762155604568313e-03
4.066415952137114468e-04,6.276266684603404311e-03,-3.028537346515971715e-03
1.076555718286785392e-03,7.062194805877010026e-03,-2.579466870519578174e-03
1.007253626801174170e-03,7.579266141734835108e-03,-2.284982790148087656e-03
1.439770649501061163e-03,7.582416379255096754e-03,-2.733432955615622707e-03
1.251031291703369464e-03,7.029161540618366830e-03,-2.224347821777854315e-03
1.122231176984509523e-03,7.973893922217471786e-03,-3.077068423626397927e-03
1.164681240743967389e-03,8.385744470530700004e-03,-2.586829870241857433e-03
1.773201343694885343e-04,8.148064862522050311e-03,-2.962753535392036956e-03
1.239703223887174139e-04,8.902344650926213507e-03,-2.391892542345855788e-03
3.575635353382939090e-04,8.877840983771428593e-03,-2.566244617067904230e-03
