ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.099999620900000252e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999638939232227e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999656978464202e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999675017696532e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999693056928507e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999711096160837e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999729135392812e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999747174625142e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999765213857117e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999783253089447e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999801292321422e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999819331553752e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999837370785727e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999855410017702e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999873449250032e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999891488482007e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999909527714337e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999927566946312e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999945606178642e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999963645409906e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999981684642236e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.099999999723874211e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000017763106541e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000035802338516e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000053841570846e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000071880802821e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000089920035151e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000107959267126e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000125998499456e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000144037731431e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000162076963406e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000180116195736e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000198155427711e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000216194660041e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000234233892016e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000252273124346e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000270312356321e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000288351588651e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000306390820626e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000324430052956e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000342469284931e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000360508516906e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000378547748525e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000396586980855e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000414626212830e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000432665445160e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000450704677135e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000468743909110e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000486783141440e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000504822373415e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000522861605745e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000540900837720e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000558940070050e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000576979302025e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000595018534355e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000613057766330e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000631096998660e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000649136230635e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000667175462610e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000685214694229e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000703253926559e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000721293158534e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000739332390509e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000757371622839e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000775410854814e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000793450087144e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000811489319119e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000829528551449e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000847567783424e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000865607015754e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000883646247729e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000901685480059e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000919724712034e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000937763943654e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000955803175628e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000973842407959e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100000991881639933e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001009920872264e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001027960104238e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001045999336213e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001064038568543e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001082077800518e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001100117032848e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001118156264823e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001136195497153e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001154234728418e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001172273960748e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001190313192723e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001208352425053e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001226391657028e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001244430889358e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001262470121333e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001280509353663e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001298548585638e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001316587817612e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001334627049943e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001352666281562e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001370705513537e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001388744745867e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.100001406783977842e+01,1.199999999999999858e+02,0.000000000000000000e+00
