q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999967337239e-01,1.452028261698901024e-06,-1.462601929904292471e-06,-1.511658407350426493e-06
9.999999999677577911e-01,6.976021505185057403e-06,-2.188390886293674219e-06,3.321236415665190351e-06
9.999999999366228076e-01,9.294854868942617137e-06,2.501372524538409143e-07,6.348007104800122966e-06
9.999999998607912444e-01,1.308254249891699056e-05,6.576161076435961159e-07,1.033596039273810633e-05
9.999999998597570716e-01,1.176835690674190770e-05,3.608206175416281631e-06,1.135659536705747421e-05
9.999999999266301343e-01,6.244400752844059927e-06,4.414105655627607937e-08,1.038003575505674775e-05
9.999999998561462933e-01,1.548822241586160519e-05,1.256729711978525986e-06,6.800226266170195932e-06
9.999999998939966828e-01,1.377512392470568137e-05,-4.091537251320969844e-06,-2.347775045522481046e-06
9.999999999197530798e-01,9.531969618481040253e-06,-6.467080781250128768e-06,-5.273718986221425482e-06
9.999999999768027781e-01,4.563104265890949167e-06,-1.859149670097431330e-06,-4.702765608459571139e-06
9.999999999900480718e-01,2.097574794662173811e-06,7.838239351250528943e-07,-3.858721814556083630e-06
9.999999999719972887e-01,-1.580942447780951145e-06,-9.547448711072406965e-07,-7.252219006166756554e-06
9.999999999559484598e-01,-8.544920515000546451e-06,3.562614486534661408e-06,-1.547641097605723335e-06
9.999999999749652480e-01,-5.085981831485900387e-06,1.445434541564853452e-06,-4.702438031783208661e-06
9.999999998726782913e-01,-1.179265543700590530e-05,1.011757809887432803e-05,-3.634714464577157729e-06
9.999999998293652714e-01,-1.409974682528098095e-05,1.130436385710000346e-05,-3.831196661852057030e-06
9.999999998547998148e-01,-7.830050461661204484e-06,1.310169030131167904e-05,-7.578686947770303772e-06
9.999999997712331057e-01,-9.807268512972022208e-06,1.628704891086593602e-05,-9.802197187922076678e-06
9.999999997559614329e-01,-1.314180569698008702e-05,1.525315645492636916e-05,-9.094565217353069229e-06
9.999999997253111728e-01,-1.152452078620218270e-05,1.690892167695608449e-05,-1.143028835350737110e-05
9.999999998628806841e-01,-9.771740227014268581e-06,1.247477663163696540e-05,-4.809528798948489636e-06
9.999999998672812751e-01,-4.004650499995157060e-06,1.574724830756983864e-05,1.193354202655667424e-06
9.999999998184053718e-01,-1.102916890019867798e-05,1.453554060225393678e-05,-5.501358530036230654e-06
9.999999997651399797e-01,-1.171651678791106650e-05,1.615444556997909755e-05,-8.454421817185636321e-06
9.999999997718046485e-01,-6.728731727279526007e-06,1.782076661513824450e-05,-9.671348651166545768e-06
9.999999997651111139e-01,-8.733966414401282783e-06,1.821940584763945072e-05,-7.845292433405609409e-06
9.999999997898102455e-01,-9.388399757575841418e-06,1.398363553942210076e-05,-1.169168776762228504e-05
9.999999997640899307e-01,-1.043711173352503728e-05,1.622459136150006110e-05,-9.982465202622856689e-06
9.999999997663345797e-01,-9.308500574985624978e-06,1.781374405491005489e-05,-7.959474458500333125e-06
9.999999996794188828e-01,-1.101508452980240521e-05,1.962557726853301655e-05,-1.160460480017283991e-05
9.999999996435602334e-01,-1.553581315250034727e-05,2.002308476459655089e-05,-8.402043427362842939e-06
9.999999996700205118e-01,-1.381690971365893550e-05,1.879531531213622569e-05,-1.076048551343932465e-05
9.999999997119654038e-01,-1.196786949447462209e-05,1.905928754157991709e-05,-8.341646411018423607e-06
9.999999996694540760e-01,-1.747627236979728237e-05,1.831695236357380152e-05,-4.490091042440908511e-06
9.999999995605828307e-01,-1.916776762732506169e-05,2.042573438469219295e-05,-9.706716647353793480e-06
9.999999995648357620e-01,-1.588124078544682059e-05,2.207988831639357439e-05,-1.142774577122240967e-05
9.999999993589403502e-01,-1.822057306976882567e-05,2.890952775876993774e-05,-1.069435273290980201e-05
9.999999991490594597e-01,-1.533685115082508347e-05,3.573065422783850082e-05,-1.378341009788818406e-05
9.999999992152016626e-01,-1.166195152909938676e-05,3.658047981566153950e-05,-9.770582998690374675e-06
9.999999992294417162e-01,-3.978220807001517108e-06,3.753762130432603119e-05,-1.078041323618957730e-05
9.999999992015448091e-01,-5.973383215782963428e-06,3.865553360030322022e-05,-8.184055388139812611e-06
9.999999993085256778e-01,-9.326441750283842662e-06,3.525872838622834686e-05,-7.265552820507287085e-06
9.999999993370005669e-01,-4.182233513237319442e-06,3.528305385123719102e-05,-7.975837442546151619e-06
9.999999991675471156e-01,4.928455990125509034e-07,4.067126775412184341e-05,-3.242041492800971082e-06
9.999999991373716979e-01,2.838440926342434902e-06,4.139830271959740125e-05,1.838573710557561969e-06
9.999999991553590872e-01,8.455610660676335594e-06,3.991356821650312155e-05,4.969043582665496954e-06
9.999999991263470722e-01,1.187997049750205146e-05,4.006686059183743598e-05,9.048303018279724989e-07
9.999999989811159118e-01,1.287094638047795527e-05,4.326302343761672471e-05,6.461487632264041893e-07
9.999999991508781161e-01,7.727774472123338673e-06,4.043224281910484506e-05,-1.938856818922894949e-06
9.999999992452875963e-01,1.522772658768473583e-06,3.879659453532043582e-05,-1.389319273727340534e-06
9.999999993394621534e-01,3.329562127027685911e-06,3.529731065347064411e-05,-8.005609303647728242e-06
9.999999992695557394e-01,3.728074848450126610e-06,3.644334172780674719e-05,-1.090289391299668946e-05
9.999999991209268524e-01,1.999787273073523515e-06,4.148799682432682194e-05,-5.735260088196463384e-06
9.999999989806641620e-01,5.031578068330169089e-06,4.435731783162529207e-05,-6.766321685153680271e-06
9.999999989674843714e-01,8.317594924287119185e-06,4.297716203422346685e-05,-1.219887981497679590e-05
9.999999991053400983e-01,8.217475984619187660e-06,4.009432280955828537e-05,-1.068822804965866383e-05
9.999999991399791677e-01,5.857803823768341100e-06,3.819239708321369131e-05,-1.506879550977352166e-05
9.999999989172658754e-01,1.413495145588935491e-05,4.186382477657813876e-05,-1.459765765074379013e-05
9.999999988316909949e-01,1.202287813981098504e-05,4.459810618863698737e-05,-1.425051580825695076e-05
9.999999989264473088e-01,9.301013751104824547e-06,4.212451422627833098e-05,-1.691513262007373274e-05
9.999999990021745111e-01,1.143891969242484519e-05,4.092000667678743364e-05,-1.379692367742496343e-05
9.999999988387969774e-01,1.067381089793883461e-05,4.552405081770710465e-05,-1.166348160555113415e-05
9.999999988156892394e-01,8.886448484094860347e-06,4.632830110936004875e-05,-1.197252290119723257e-05
9.999999989277099655e-01,1.156007595094050121e-05,4.420339045259164896e-05,-7.550173534219182552e-06
9.999999988754715297e-01,1.446242543317642770e-05,4.295821678250565399e-05,-1.394584698709349786e-05
9.999999988895014180e-01,9.970664429456652111e-06,4.322176014369560638e-05,-1.592049878611896823e-05
9.999999988662980899e-01,1.153940478534976605e-05,4.173495046920110341e-05,-1.981009383844189472e-05
9.999999987651099209e-01,1.035173979018339201e-05,4.343871671123642706e-05,-2.181053952326073974e-05
9.999999987350204345e-01,1.023411176303323629e-05,4.686188226671291125e-05,-1.513889862707489064e-05
9.999999987386196665e-01,1.530999611279559289e-05,4.496954113850754156e-05,-1.631272664156889875e-05
9.999999989436073600e-01,1.626262917447742853e-05,4.100149368061451171e-05,-1.293018427378128065e-05
9.999999988706415044e-01,1.783931878585008003e-05,4.254247736256874487e-05,-1.142862123279729696e-05
9.999999987880815455e-01,2.130381198237050376e-05,4.170990751447635795e-05,-1.517458792610122804e-05
9.999999987247554234e-01,1.995615404203814484e-05,4.302907764179344363e-05,-1.734184337298049731e-05
9.999999986619124703e-01,1.782026053141648055e-05,4.494687354414303980e-05,-1.839543489255764417e-05
9.999999986078532688e-01,1.675036526679003754e-05,4.663274231219720800e-05,-1.814127749490033689e-05
9.999999989359148467e-01,1.474966345166257467e-05,4.123681944982450037e-05,-1.449629544979491874e-05
9.999999989524617217e-01,9.209156001962737453e-06,4.236505407242922437e-05,-1.467890328796180923e-05
9.999999985720898765e-01,8.611199509525756363e-06,5.011119498358595353e-05,-1.644797514417326858e-05
9.999999986884819947e-01,5.193613348205569237e-06,4.768708771025307485e-05,-1.794447459294542095e-05
9.999999986068581759e-01,3.632294649874881173e-06,5.012871356537169920e-05,-1.613078550291630238e-05
9.999999986322409828e-01,2.250594093023510414e-06,4.873835204434782227e-05,-1.884212417385089616e-05
9.999999988532481954e-01,6.671862513727006141e-06,4.321866865584569081e-05,-1.952272281564287402e-05
9.999999989363128616e-01,5.647756517003478845e-06,4.076002531906282810e-05,-2.083500480268497929e-05
9.999999989758164842e-01,4.349089608923111749e-06,3.606602900085041017e-05,-2.699433470411073997e-05
9.999999988848291554e-01,9.350150862912377849e-06,3.716345453953789511e-05,-2.760062186638098438e-05
9.999999989188137484e-01,1.190802355932928212e-05,3.421209755547364507e-05,-2.915653907704719884e-05
9.999999989398810074e-01,1.493583764123388175e-05,2.970397160697677239e-05,-3.185644202137874264e-05
9.999999989753051155e-01,1.260406151502857847e-05,3.204549780147543793e-05,-2.938729882790032987e-05
9.999999988951910890e-01,1.574220433708162749e-05,3.071531755975723764e-05,-3.191190905807975473e-05
9.999999988933855333e-01,1.805746368503765209e-05,3.194726138334641539e-05,-2.943687055388797383e-05
9.999999988810710505e-01,1.898168533251703784e-05,3.115637629474082111e-05,-3.011368265524712066e-05
9.999999989939122313e-01,1.283590784414951262e-05,3.113862610010431690e-05,-2.962770558265425018e-05
9.999999989605324879e-01,9.473650503783086351e-06,3.334997090225509978e-05,-2.961358562658415527e-05
9.999999985991218088e-01,1.100972476575548877e-05,4.014844086965388311e-05,-3.269014074155214783e-05
9.999999989066018502e-01,7.879482446107201937e-06,3.700349771211620872e-05,-2.748547552898420639e-05
9.999999988969391351e-01,7.966010690496893318e-06,3.581380040254548882e-05,-2.932637423079334719e-05
9.999999988198643441e-01,1.171705635832413525e-05,3.327731081212588742e-05,-3.340063660548193774e-05
9.999999987015847358e-01,1.011926561076089839e-05,3.294832246567000792e-05,-3.753450324307256315e-05
