accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.900937747852920350e-03,6.496513593993054163e-03,-9.784724158464060295e+00
-3.294738097115064435e-03,-4.305775220469161557e-03,-9.786396906464064571e+00
1.234680268861433486e-03,1.568969582590116259e-03,-9.801587582391837472e+00
-1.153037222689964978e-03,-2.883558146460537316e-03,-9.789620768359403868e+00
-8.316491242363964042e-04,5.128255500884255913e-03,-9.797405628358987428e+00
-8.013742357499646770e-04,9.246830914249088589e-05,-9.793989518437696162e+00
-9.025546320610661893e-03,-3.629067627125169213e-04,-9.789639637629601765e+00
-4.485950757387504977e-03,-3.555850709328989365e-03,-9.792363771831839259e+00
2.973919943080330190e-03,-1.246045542456787787e-02,-9.785590481723366096e+00
-3.081700597615481124e-03,-3.584146670580775663e-03,-9.792626859310070486e+00
-8.826427420060420012e-03,-2.003206641313056910e-03,-9.795479185064017713e+00
-2.479788925752417564e-03,-1.522328667098263658e-03,-9.795407040235708962e+00
9.224336468542598463e-03,6.453975238281796888e-03,-9.784503510843709506e+00
-1.200010402500959047e-03,-6.440453252314202147e-03,-9.794454979819244400e+00
2.987461518865810409e-03,4.707199993468623792e-03,-9.790583956334607763e+00
-8.784148660887055454e-03,-8.383100021743460431e-03,-9.789865936235147004e+00
3.208401417940531623e-03,4.772267269410574754e-03,-9.801520649472294622e+00
5.315367612320768187e-04,-9.889936229051262545e-03,-9.793935157922165402e+00
1.143528908310223469e-03,-2.399099198220420136e-03,-9.794528357832820831e+00
2.093493977679731968e-03,6.491619606535657975e-04,-9.795812124916301045e+00
2.860512385159247762e-03,-3.290318399068005613e-03,-9.798815752395352519e+00
-1.129065589793138867e-03,-4.805960769239491295e-03,-9.798265282341477089e+00
7.516003513197586257e-03,-4.173496691579193065e-04,-9.795011967135572206e+00
1.411252768446146768e-03,-9.292728939712341027e-03,-9.794809158708288166e+00
-3.367774369202228280e-03,3.565617077255988157e-03,-9.790549686318646749e+00
-1.478464210886182512e-03,6.284000912921892251e-03,-9.799913771884726899e+00
6.289961884521071134e-03,-3.392425255699602678e-03,-9.794412618111593360e+00
3.357521099091190144e-03,4.214307064245127049e-03,-9.790619832487678309e+00
3.138769332005623969e-03,5.820794616754580361e-03,-9.791165532677281291e+00
-8.058880053680505390e-03,-3.134180817317093210e-03,-9.792695907382217513e+00
3.321252929956330490e-03,-3.943079700277514303e-03,-9.792857600498930282e+00
-4.580609122462388563e-03,3.916209721959786581e-03,-9.803436781030342217e+00
3.220239703125121235e-03,4.986799370366241241e-03,-9.789510590105415133e+00
2.291375078631243886e-03,-5.842696153256920696e-03,-9.801311037241356772e+00
2.492226188369252218e-03,4.234863780863722810e-03,-9.792015696613944442e+00
-5.755048008460517464e-03,1.962532716769055201e-04,-9.801654557432247117e+00
-6.087181088316844825e-03,-8.632391685593017797e-03,-9.799565767822912221e+00
-5.234926426266573243e-03,-1.781727067212022500e-03,-9.793141915863680325e+00
-2.462260551996889573e-03,5.481625075980257195e-03,-9.796979006343912388e+00
-7.773103912973059956e-03,-4.369944270925843997e-03,-9.792961673958602731e+00
-6.048847327117573038e-03,5.484688456890133732e-04,-9.780772644153161721e+00
2.696118806784041436e-03,9.973275110245044192e-03,-9.796994899046577387e+00
-5.185007711405198796e-03,1.619044789196341996e-03,-9.800267414906194574e+00
9.866372081813210709e-03,-5.620657750943502950e-03,-9.797155344858301973e+00
2.321168438875588404e-03,-1.171408200041320312e-02,-9.789899941590332944e+00
4.870506929186070241e-03,9.858278959858643789e-06,-9.786427945323396216e+00
-9.890520122564612840e-03,8.090719549031438057e-03,-9.790883426247061649e+00
-2.745713560501170970e-03,-1.425593252582635318e-03,-9.786330291972372919e+00
-4.449193391848465726e-03,2.172611029329524560e-03,-9.804152209322664291e+00
1.384427948769970931e-03,2.402036894317945842e-03,-9.797400221053562674e+00
-6.380382834252571952e-03,5.540531240894025662e-03,-9.787741459934972355e+00
-3.506232805994289724e-03,1.502246217548955896e-03,-9.786509203587133499e+00
-1.173724002491697421e-02,2.396553419646879363e-03,-9.788555019909569666e+00
2.306909392480318861e-03,4.088528127234434921e-03,-9.794463606216114115e+00
-3.321296177866551839e-03,1.509798258160569657e-03,-9.800833361850408210e+00
9.319977828107593038e-03,-5.690835370769703992e-03,-9.792732921164672533e+00
-8.458469792308664567e-03,4.418722142176721712e-03,-9.793332669259090295e+00
7.095173085209200564e-03,-1.204924532564479725e-03,-9.794653713633117320e+00
5.082512470195791124e-03,2.614356556840121294e-03,-9.788222507879552836e+00
1.257286230896783067e-03,2.761148215991950615e-03,-9.792508924013297644e+00
1.029605940785854662e-03,1.443670529951468755e-03,-9.787754269585903444e+00
