ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.502286739005279906e-04,-9.794033454661089877e+00
0.000000000000000000e+00,-1.502286746877087224e-04,-9.794033454804957017e+00
0.000000000000000000e+00,-1.502286754748894000e-04,-9.794033454948820605e+00
0.000000000000000000e+00,-1.502286762620701319e-04,-9.794033455092684193e+00
0.000000000000000000e+00,-1.502286770492508095e-04,-9.794033455236551333e+00
0.000000000000000000e+00,-1.502286778364315414e-04,-9.794033455380416697e+00
0.000000000000000000e+00,-1.502286786236122190e-04,-9.794033455524280285e+00
0.000000000000000000e+00,-1.502286794107929237e-04,-9.794033455668147425e+00
0.000000000000000000e+00,-1.502286801979736284e-04,-9.794033455812011013e+00
0.000000000000000000e+00,-1.502286809851543332e-04,-9.794033455955876377e+00
0.000000000000000000e+00,-1.502286817723350108e-04,-9.794033456099741741e+00
0.000000000000000000e+00,-1.502286825595157155e-04,-9.794033456243605329e+00
0.000000000000000000e+00,-1.502286833466963932e-04,-9.794033456387472469e+00
0.000000000000000000e+00,-1.502286841338770979e-04,-9.794033456531336057e+00
0.000000000000000000e+00,-1.502286849210577755e-04,-9.794033456675201421e+00
0.000000000000000000e+00,-1.502286857082384803e-04,-9.794033456819066785e+00
0.000000000000000000e+00,-1.502286864954191579e-04,-9.794033456962932149e+00
0.000000000000000000e+00,-1.502286872825998626e-04,-9.794033457106797513e+00
0.000000000000000000e+00,-1.502286880697805403e-04,-9.794033457250662877e+00
0.000000000000000000e+00,-1.502286888569611637e-04,-9.794033457394526465e+00
0.000000000000000000e+00,-1.502286896441418684e-04,-9.794033457538393606e+00
0.000000000000000000e+00,-1.502286904313225461e-04,-9.794033457682257193e+00
0.000000000000000000e+00,-1.502286912185032237e-04,-9.794033457826122557e+00
0.000000000000000000e+00,-1.502286920056839013e-04,-9.794033457969987921e+00
0.000000000000000000e+00,-1.502286927928645789e-04,-9.794033458113853285e+00
0.000000000000000000e+00,-1.502286935800452566e-04,-9.794033458257716873e+00
0.000000000000000000e+00,-1.502286943672259342e-04,-9.794033458401584014e+00
0.000000000000000000e+00,-1.502286951544065847e-04,-9.794033458545447601e+00
0.000000000000000000e+00,-1.502286959415872624e-04,-9.794033458689312965e+00
0.000000000000000000e+00,-1.502286967287679129e-04,-9.794033458833178329e+00
0.000000000000000000e+00,-1.502286975159486176e-04,-9.794033458977043693e+00
0.000000000000000000e+00,-1.502286983031292681e-04,-9.794033459120910834e+00
0.000000000000000000e+00,-1.502286990903099187e-04,-9.794033459264774422e+00
0.000000000000000000e+00,-1.502286998774905692e-04,-9.794033459408638009e+00
0.000000000000000000e+00,-1.502287006646712468e-04,-9.794033459552506926e+00
0.000000000000000000e+00,-1.502287014518518973e-04,-9.794033459696370514e+00
0.000000000000000000e+00,-1.502287022390325479e-04,-9.794033459840235878e+00
0.000000000000000000e+00,-1.502287030262131984e-04,-9.794033459984101242e+00
0.000000000000000000e+00,-1.502287038133938760e-04,-9.794033460127964830e+00
0.000000000000000000e+00,-1.502287046005745265e-04,-9.794033460271831970e+00
0.000000000000000000e+00,-1.502287053877551500e-04,-9.794033460415697334e+00
0.000000000000000000e+00,-1.502287061749358005e-04,-9.794033460559560922e+00
0.000000000000000000e+00,-1.502287069621164781e-04,-9.794033460703428062e+00
0.000000000000000000e+00,-1.502287077492971015e-04,-9.794033460847291650e+00
0.000000000000000000e+00,-1.502287085364777521e-04,-9.794033460991157014e+00
0.000000000000000000e+00,-1.502287093236584026e-04,-9.794033461135022378e+00
0.000000000000000000e+00,-1.502287101108389989e-04,-9.794033461278887742e+00
0.000000000000000000e+00,-1.502287108980196765e-04,-9.794033461422751330e+00
0.000000000000000000e+00,-1.502287116852002728e-04,-9.794033461566616694e+00
0.000000000000000000e+00,-1.502287124723809234e-04,-9.794033461710482058e+00
0.000000000000000000e+00,-1.502287132595615739e-04,-9.794033461854347422e+00
0.000000000000000000e+00,-1.502287140467421973e-04,-9.794033461998212786e+00
0.000000000000000000e+00,-1.502287148339228207e-04,-9.794033462142078150e+00
0.000000000000000000e+00,-1.502287156211034441e-04,-9.794033462285943514e+00
0.000000000000000000e+00,-1.502287164082840947e-04,-9.794033462429808878e+00
0.000000000000000000e+00,-1.502287171954647452e-04,-9.794033462573672466e+00
0.000000000000000000e+00,-1.502287179826453415e-04,-9.794033462717537830e+00
0.000000000000000000e+00,-1.502287187698259920e-04,-9.794033462861403194e+00
0.000000000000000000e+00,-1.502287195570065884e-04,-9.794033463005268558e+00
0.000000000000000000e+00,-1.502287203441872389e-04,-9.794033463149133922e+00
0.000000000000000000e+00,-1.502287211313678352e-04,-9.794033463292999286e+00
0.000000000000000000e+00,-1.502287219185484315e-04,-9.794033463436864650e+00
0.000000000000000000e+00,-1.502287227057290549e-04,-9.794033463580728238e+00
0.000000000000000000e+00,-1.502287234929096783e-04,-9.794033463724595379e+00
0.000000000000000000e+00,-1.502287242800903018e-04,-9.794033463868462519e+00
0.000000000000000000e+00,-1.502287250672708981e-04,-9.794033464012326107e+00
0.000000000000000000e+00,-1.502287258544515215e-04,-9.794033464156191471e+00
0.000000000000000000e+00,-1.502287266416321178e-04,-9.794033464300055059e+00
0.000000000000000000e+00,-1.502287274288127412e-04,-9.794033464443920423e+00
0.000000000000000000e+00,-1.502287282159933375e-04,-9.794033464587785787e+00
0.000000000000000000e+00,-1.502287290031739610e-04,-9.794033464731651151e+00
