vel_x (m/s),vel_y (m/s),vel_z (m/s)
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000009054313820922e+00,-1.049092189070672453e-04,-3.255437466769413427e-05
2.000006790281835034e+00,-1.211023209703413362e-04,-8.357280881300255401e-05
2.000098442709048463e+00,-6.878324773415092392e-05,-1.624708793165778923e-04
2.000143102208716162e+00,3.605893441439103630e-05,-1.733377558059538985e-04
2.000250020304552123e+00,1.202260793078505400e-04,-1.772661332326197947e-04
2.000285576505525409e+00,1.316433613756177708e-04,-1.943010272099606796e-04
2.000278332299405992e+00,1.679862354679669163e-04,-8.895462232143509578e-05
2.000287566502624070e+00,2.214265962440870256e-04,-1.295179581305312135e-04
2.000336626471368895e+00,1.835488836926301782e-04,-2.076697823058654396e-04
2.000310399756191959e+00,1.306643621889973076e-04,-1.675843053804175952e-04
2.000336073728278929e+00,9.897110926068768090e-05,-2.531725229139875771e-04
2.000317743828179839e+00,9.485852096583372397e-05,-2.364402755456725754e-04
2.000365705856277376e+00,3.986625333345743656e-05,-2.509794803264794611e-04
2.000380612994675733e+00,1.151488833339884231e-04,-2.377018992256624307e-04
2.000411482712730837e+00,3.299951332915817930e-05,-1.542909670056018560e-04
2.000383502595088014e+00,7.686664212516706334e-05,-1.667780234942357128e-04
2.000407193931415861e+00,7.272627107544566772e-05,-1.993172265935943275e-04
2.000322215243017343e+00,3.950359018654978245e-05,-1.236706476088362270e-04
2.000263522694027962e+00,3.323039127341966876e-05,-2.455932919305089598e-04
2.000276243990423364e+00,5.895893471425255907e-05,-2.465220374547014452e-04
2.000297762139716440e+00,-2.406608983335320907e-06,-2.136921644644121138e-04
2.000251442968597804e+00,2.697258278347829729e-05,-2.502143047643691368e-04
2.000233873726533496e+00,1.999241719979552109e-05,-1.870189309969343345e-04
2.000200313238633232e+00,1.502962230261415804e-06,-1.931508511905435379e-04
2.000239619519819101e+00,-2.049539001402185417e-05,-2.087512001855732987e-04
2.000161010903406034e+00,-1.535692219841760153e-04,-2.072544141637644053e-04
2.000117556976853006e+00,-1.914861569263341667e-04,-2.069431034200584470e-04
2.000059181872919645e+00,-2.315536856763076537e-04,-1.701671142163049106e-04
2.000083367916811738e+00,-2.887620037145164579e-04,-1.970657606844835132e-04
2.000074388537520953e+00,-2.309979888975670348e-04,-2.275889842802875953e-04
2.000080845637390858e+00,-1.992096990369098962e-04,-1.602829793727844306e-04
1.999992757042444280e+00,-1.567652102838703752e-04,-1.426646227543055905e-04
2.000089008753805686e+00,-2.235256316253414108e-04,-7.663392745349118624e-05
2.000045115190824507e+00,-2.318691894757474278e-04,-1.911246295736013494e-04
2.000112744983946644e+00,-2.377914325768375236e-04,-2.042843933997352845e-04
2.000139391120500321e+00,-3.002609706395184151e-04,-2.167738033424709886e-04
2.000111694382417316e+00,-3.100567592134142103e-04,-2.032824077661674804e-04
2.000181034582478201e+00,-3.755250161062900554e-04,-1.790835292313692248e-04
2.000149997342567154e+00,-3.737550054976560162e-04,-1.442484803852549095e-04
2.000194606065406777e+00,-4.405845028398614870e-04,-7.263169029380700872e-05
2.000182123765658293e+00,-4.012062964937982432e-04,-6.954289466667935632e-05
2.000084815677074079e+00,-4.333696159792004986e-04,1.906655671565711833e-06
2.000051249812995646e+00,-4.561221807519763691e-04,-4.314587238767621902e-05
2.000015890810631802e+00,-5.653359387638776492e-04,5.835075277488145342e-05
2.000053003847857447e+00,-5.747644437956612052e-04,1.561415144642072189e-05
2.000029954733220983e+00,-6.246846576189938986e-04,1.291487927733779579e-05
1.999952353019376350e+00,-6.741624323554762507e-04,2.015237117874264864e-05
1.999920417198692402e+00,-7.647335007663829754e-04,6.639824203330561557e-06
1.999918666618215823e+00,-7.680634760896881078e-04,-1.263662231425561255e-04
1.999852265813694574e+00,-7.601098593682304632e-04,-9.620521714690338203e-05
1.999926057077773489e+00,-7.207111645780476606e-04,-5.114539415223539882e-06
1.999950431657559147e+00,-7.613469006469370057e-04,4.608349215058213426e-05
2.000062702853487639e+00,-8.177106078975717200e-04,1.629139226124798941e-05
2.000071267192359503e+00,-8.520861761424383630e-04,7.283156884184956799e-05
2.000086567299834694e+00,-8.777173126743116529e-04,6.731635034548132178e-05
2.000053014789144878e+00,-9.237319050854663274e-04,1.340601398632029425e-05
1.999995606336709697e+00,-1.029064965258012949e-03,-3.421150433557122494e-05
1.999983290770892763e+00,-1.023649475274910530e-03,-4.853959972257367581e-05
1.999974794952532831e+00,-1.005932018477855060e-03,4.344086501452590050e-05
1.999979268468409010e+00,-1.073042903616719824e-03,1.012990108317229497e-04
1.999840992542145646e+00,-9.968771440991386172e-04,8.418859162059240159e-05
1.999801912769653356e+00,-9.390494766014051116e-04,1.389238689898364941e-04
1.999783906216353380e+00,-1.020033492934590549e-03,4.882166695255275510e-05
1.999780838442291708e+00,-1.009927489117459949e-03,5.998179615961889128e-05
1.999816151448320589e+00,-1.054905787944154880e-03,7.545447208498319244e-05
1.999778872659152773e+00,-1.090357777826207438e-03,1.028067140221504649e-04
1.999778165795682128e+00,-1.053414200736310950e-03,6.885804449146352957e-05
1.999759067381008837e+00,-1.055202851711633822e-03,7.892694090069406426e-05
1.999759758759371620e+00,-9.498866190664516851e-04,-5.057581333208959406e-05
1.999816015080008391e+00,-9.517449586643856414e-04,-7.633292852392987700e-05
1.999842829756828255e+00,-9.124159101806380776e-04,-9.778875775345746723e-05
2.000001540789920984e+00,-9.203299229748523663e-04,-1.170722531171215482e-04
1.999980243413453262e+00,-9.347325836541746542e-04,-9.109521691618342818e-05
2.000002414317925581e+00,-9.083863994473707557e-04,-8.954531323841968327e-05
1.999961713355914439e+00,-9.551690171994014784e-04,-1.239624378552861301e-04
1.999979436469323080e+00,-1.038676939051400537e-03,-1.736368238940649942e-04
1.999972676677114203e+00,-1.071349074859253214e-03,-1.429285876648250168e-04
2.000060909658681219e+00,-1.067357095745744347e-03,-1.267008052086429160e-04
1.999963910105285958e+00,-1.099252595431184174e-03,-1.209884097700788451e-04
2.000004265265341807e+00,-1.114091275712451564e-03,-8.383065477858901683e-05
2.000120373042308497e+00,-1.158894701501516971e-03,-1.090939514774460199e-04
2.000087856323667257e+00,-1.176714680505535531e-03,-4.454427981366847764e-05
2.000071115186155435e+00,-1.221538176996718591e-03,-1.168354652966915592e-04
2.000068279994393627e+00,-1.252975143841071138e-03,-1.490197082118224292e-04
2.000095932785056263e+00,-1.265172255905767018e-03,-4.437437300593173042e-05
2.000050140615015515e+00,-1.230315464250269575e-03,-4.154317936012709759e-05
2.000090585294058698e+00,-1.283433136131425850e-03,-9.202353742128758975e-05
2.000166422359070939e+00,-1.322181531799138761e-03,-9.551113161159926460e-05
2.000207712088199585e+00,-1.399325648390869949e-03,-5.964588607519366869e-05
2.000206513089093363e+00,-1.477980128440830937e-03,-1.248124170118491619e-05
2.000173528424403990e+00,-1.502509981085150366e-03,-1.189165158269336753e-05
2.000197144587304354e+00,-1.605750688711187011e-03,-1.020989364957992747e-05
2.000155227748898756e+00,-1.599002762074585486e-03,3.234820860328546589e-05
2.000217307352962770e+00,-1.683384721380188883e-03,-5.394382703241840115e-05
2.000243070381857446e+00,-1.677400049132023434e-03,-1.380174895751306154e-04
2.000165130391100554e+00,-1.666796407483575647e-03,-2.338517446503952544e-04
2.000174012174003035e+00,-1.732605449714610946e-03,-2.250381218486684936e-04
2.000176649273606611e+00,-1.677293836383687842e-03,-2.386235077176348163e-04
2.000218635063094386e+00,-1.702930171216168265e-03,-2.371129070312538592e-04
