accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.061668457214953065e+00,7.853318028203687406e-01,-3.460326947970710609e+00
9.059861476458165086e+00,8.125128754003835274e-01,-3.301583231735761625e+00
9.036901080772894446e+00,8.540402872886991847e-01,-3.178657584436288097e+00
9.017977135099531694e+00,8.881272775901992711e-01,-3.091965830997097431e+00
8.997519737880015356e+00,9.255510487555831389e-01,-3.014227524181755768e+00
8.979783912996284201e+00,9.483975121085056470e-01,-2.966533399124245296e+00
8.943079725541160485e+00,9.984009942707534613e-01,-2.951547885113090519e+00
8.895811490518482856e+00,1.029619006721597785e+00,-2.942166905602691340e+00
8.864321258476541843e+00,1.079150423507786005e+00,-2.938791971090190192e+00
8.819928998953340482e+00,1.122680436429046802e+00,-2.953927863119724773e+00
8.766815165634056939e+00,1.132167746970187405e+00,-3.181310967701134640e+00
8.720280147293673068e+00,1.135797395675463450e+00,-3.369000389503839621e+00
8.680243551201758834e+00,1.127872166183538916e+00,-3.543354451151929929e+00
8.651707441712183311e+00,1.133031698827031475e+00,-3.704413198317376477e+00
8.614630996031017673e+00,1.128487027695341816e+00,-3.851738201305680676e+00
8.567695548979305187e+00,1.131510724649162247e+00,-3.985258960940804229e+00
8.556004651332131061e+00,1.122496830423715952e+00,-4.095802728763914047e+00
8.527297288069620507e+00,1.133209255113593938e+00,-4.194336497870914116e+00
8.501561414443235876e+00,1.113751332500105162e+00,-4.284491505978729187e+00
8.481629957255403696e+00,1.113780698204066333e+00,-4.377447437651333928e+00
8.453015432808419050e+00,1.115174876901062540e+00,-4.443474580548763875e+00
8.436891932496555668e+00,1.109881000817698027e+00,-4.518419768538432635e+00
8.416836133483819538e+00,1.102110692560307248e+00,-4.578423228191458527e+00
8.412793236934918539e+00,1.103146433004809301e+00,-4.627754455999255612e+00
8.400113546357552252e+00,1.105320944744878187e+00,-4.675419029941732418e+00
8.388567968593923396e+00,1.087727212681292910e+00,-4.727828036305361081e+00
8.379593801920005802e+00,1.094874165598004989e+00,-4.773962976243279144e+00
8.369234966825187527e+00,1.096520477953915274e+00,-4.792201938443567677e+00
8.367010057368855058e+00,1.085157113680543128e+00,-4.830989632101871045e+00
8.350349888849931901e+00,1.087729432570979649e+00,-4.864058533230646297e+00
8.342961312743257807e+00,1.084508786899888388e+00,-4.892274207557114174e+00
8.341584602089806566e+00,1.075210595937685865e+00,-4.907614762647876105e+00
8.324760473041234121e+00,1.082262790645447170e+00,-4.929230524297411264e+00
8.327282268828868794e+00,1.078024317230183993e+00,-4.957673139733359768e+00
8.321768308255121482e+00,1.077589052028577798e+00,-4.967607913740402559e+00
8.312295559658362976e+00,1.080108343663162884e+00,-4.982647237649784344e+00
8.312980512136999067e+00,1.076061572738618244e+00,-4.999425064757285320e+00
8.297469126484442015e+00,1.078106588948821276e+00,-5.017212795912429080e+00
8.310495777538434936e+00,1.082030225669110335e+00,-5.022329909103896206e+00
8.299643262240971708e+00,1.071522847484492003e+00,-5.028688329450861083e+00
8.290885927388483623e+00,1.083931670608148989e+00,-5.041693247432441183e+00
8.294576639604311907e+00,1.076040948137066744e+00,-5.041497738509799653e+00
8.305308723169646967e+00,1.074709953595323064e+00,-5.052612729005391934e+00
8.299409351248216993e+00,1.070062468169102665e+00,-5.064568750707108435e+00
8.287276629008664131e+00,1.072107148847258440e+00,-5.069563300849682541e+00
8.291178054970162137e+00,1.082539425171310521e+00,-5.077882000340625090e+00
8.296530801074530004e+00,1.067054088157249225e+00,-5.072008511421319810e+00
8.283067407733614829e+00,1.061564066538469353e+00,-5.080484675338158951e+00
8.290433478472374773e+00,1.074144981904001872e+00,-5.090093177828723725e+00
8.282687527626897861e+00,1.077047813545678023e+00,-5.101164499249001061e+00
8.277313390875004728e+00,1.069314149974686989e+00,-5.097854394546629919e+00
8.277975160581819480e+00,1.063912929019475540e+00,-5.092181529887424674e+00
8.282943112021415644e+00,1.066763454482714923e+00,-5.096030823024062961e+00
8.280510005870375778e+00,1.072648389367451882e+00,-5.100759620742466360e+00
8.283351105254846303e+00,1.068104872749790157e+00,-5.107208528498880185e+00
8.283687866961503943e+00,1.075251970512029587e+00,-5.107213200912821272e+00
8.286136535191673147e+00,1.061449119193879520e+00,-5.107709648565613492e+00
