gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.073151513909808771e-02,-4.254990045415619343e-02,-2.080312783350480102e-02
5.476983154482368242e-03,-9.486765040263554077e-03,1.186334728520451257e-02
7.430168375999634221e-03,6.350173477139238465e-03,1.046001480070833482e-02
9.300419983094214416e-03,1.265843716966552103e-02,4.120017973019725679e-03
1.721025428250844147e-02,-3.543722746490869657e-02,2.811444613952457025e-02
6.829884375745799534e-03,-1.784227059063397958e-02,1.592752307050332656e-03
-1.785190056311720258e-02,1.070798708452153948e-02,2.405717663122413155e-02
-2.026694039942332839e-02,4.821164452095634545e-03,6.958727669626132593e-04
6.933808824155869924e-03,3.539858651718307252e-03,1.950481980440810226e-02
-7.947235436719829113e-03,-1.334221491143671758e-02,-1.273568178080411450e-02
