ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-2.136612291682869129e-04,-9.794032805800512165e+00
0.000000000000000000e+00,-2.136612307605698048e-04,-9.794032806005123604e+00
0.000000000000000000e+00,-2.136612323528526696e-04,-9.794032806209735043e+00
0.000000000000000000e+00,-2.136612339451355615e-04,-9.794032806414344705e+00
0.000000000000000000e+00,-2.136612355374183450e-04,-9.794032806618954368e+00
0.000000000000000000e+00,-2.136612371297011556e-04,-9.794032806823567583e+00
0.000000000000000000e+00,-2.136612387219840204e-04,-9.794032807028177245e+00
0.000000000000000000e+00,-2.136612403142668581e-04,-9.794032807232788684e+00
0.000000000000000000e+00,-2.136612419065496687e-04,-9.794032807437398347e+00
0.000000000000000000e+00,-2.136612434988325335e-04,-9.794032807642008009e+00
0.000000000000000000e+00,-2.136612450911152899e-04,-9.794032807846619448e+00
0.000000000000000000e+00,-2.136612466833981276e-04,-9.794032808051232664e+00
0.000000000000000000e+00,-2.136612482756809653e-04,-9.794032808255844103e+00
0.000000000000000000e+00,-2.136612498679637759e-04,-9.794032808460453765e+00
0.000000000000000000e+00,-2.136612514602465593e-04,-9.794032808665063428e+00
0.000000000000000000e+00,-2.136612530525293157e-04,-9.794032808869676643e+00
0.000000000000000000e+00,-2.136612546448121534e-04,-9.794032809074286305e+00
0.000000000000000000e+00,-2.136612562370949369e-04,-9.794032809278895968e+00
0.000000000000000000e+00,-2.136612578293777204e-04,-9.794032809483507407e+00
0.000000000000000000e+00,-2.136612594216604768e-04,-9.794032809688117069e+00
0.000000000000000000e+00,-2.136612610139432874e-04,-9.794032809892728508e+00
0.000000000000000000e+00,-2.136612626062260167e-04,-9.794032810097339947e+00
0.000000000000000000e+00,-2.136612641985088002e-04,-9.794032810301949610e+00
0.000000000000000000e+00,-2.136612657907915565e-04,-9.794032810506561049e+00
0.000000000000000000e+00,-2.136612673830743671e-04,-9.794032810711172488e+00
0.000000000000000000e+00,-2.136612689753571235e-04,-9.794032810915783926e+00
0.000000000000000000e+00,-2.136612705676397986e-04,-9.794032811120397142e+00
0.000000000000000000e+00,-2.136612721599226092e-04,-9.794032811325006804e+00
0.000000000000000000e+00,-2.136612737522052843e-04,-9.794032811529618243e+00
0.000000000000000000e+00,-2.136612753444880406e-04,-9.794032811734227906e+00
0.000000000000000000e+00,-2.136612769367707699e-04,-9.794032811938837568e+00
0.000000000000000000e+00,-2.136612785290534992e-04,-9.794032812143449007e+00
0.000000000000000000e+00,-2.136612801213362285e-04,-9.794032812348060446e+00
0.000000000000000000e+00,-2.136612817136189306e-04,-9.794032812552668332e+00
0.000000000000000000e+00,-2.136612833059016870e-04,-9.794032812757279771e+00
0.000000000000000000e+00,-2.136612848981844163e-04,-9.794032812961891210e+00
