ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
9.999997789299999340e+01,6.768293614099999900e+01,-1.178398773200002303e+01
1.009999776719299973e+02,6.668356305430999953e+01,-1.178398773200002303e+01
1.018999774729669952e+02,6.578412727628899859e+01,-1.178398773200002303e+01
1.027099772939002946e+02,6.497463507607010058e+01,-1.178398773200002303e+01
1.034389771327402627e+02,6.424609209587309522e+01,-1.178398773200002303e+01
1.040950769876962454e+02,6.359040341369578186e+01,-1.178398773200002303e+01
1.046855668571566156e+02,6.300028359973620695e+01,-1.178398773200002303e+01
1.052170077396709473e+02,6.246917576717258669e+01,-1.178398773200002303e+01
1.056953045339338502e+02,6.199117871786532419e+01,-1.178398773200002303e+01
1.061257716487704528e+02,6.156098137348879362e+01,-1.178398773200002303e+01
1.065131920521234008e+02,6.117380376354991967e+01,-1.178398773200002303e+01
1.068618704151410554e+02,6.082534391460492174e+01,-1.178398773200002303e+01
1.071756809418569532e+02,6.051173005055443355e+01,-1.178398773200002303e+01
1.074581104159012597e+02,6.022947757290899062e+01,-1.178398773200002303e+01
1.077122969425411156e+02,5.997545034302808631e+01,-1.178398773200002303e+01
1.079410648165170130e+02,5.974682583613527243e+01,-1.178398773200002303e+01
1.081469559030953036e+02,5.954106377993173993e+01,-1.178398773200002303e+01
1.083322578810157637e+02,5.935587792934856566e+01,-1.178398773200002303e+01
1.084990296611441920e+02,5.918921066382370810e+01,-1.178398773200002303e+01
1.086491242632597789e+02,5.903921012485133701e+01,-1.178398773200002303e+01
1.087842094051637929e+02,5.890420963977619806e+01,-1.178398773200002303e+01
1.089057860328774012e+02,5.878270920320856874e+01,-1.178398773200002303e+01
1.090152049978196658e+02,5.867335881029771372e+01,-1.178398773200002303e+01
1.091136820662676996e+02,5.857494345667794278e+01,-1.178398773200002303e+01
1.092023114278709102e+02,5.848636963842015035e+01,-1.178398773200002303e+01
1.092820778533138224e+02,5.840665320198813504e+01,-1.178398773200002303e+01
1.093538676362124420e+02,5.833490840919932907e+01,-1.178398773200002303e+01
1.094184784408211897e+02,5.827033809568939660e+01,-1.178398773200002303e+01
1.094766281649690711e+02,5.821222481353045453e+01,-1.178398773200002303e+01
1.095289629167021701e+02,5.815992285958739672e+01,-1.178398773200002303e+01
1.095760641932619563e+02,5.811285110103866458e+01,-1.178398773200002303e+01
1.096184553421657455e+02,5.807048651834479358e+01,-1.178398773200002303e+01
1.096566073761791671e+02,5.803235839392031181e+01,-1.178398773200002303e+01
1.096909442067912437e+02,5.799804308193827751e+01,-1.178398773200002303e+01
1.097218473543421169e+02,5.796715930115445303e+01,-1.178398773200002303e+01
1.097496601871379056e+02,5.793936389844900958e+01,-1.178398773200002303e+01
1.097746917366541055e+02,5.791434803601411119e+01,-1.178398773200002303e+01
1.097972201312186940e+02,5.789183375982270263e+01,-1.178398773200002303e+01
1.098174956863268221e+02,5.787157091125042996e+01,-1.178398773200002303e+01
1.098357436859241290e+02,5.785333434753538739e+01,-1.178398773200002303e+01
1.098521668855617150e+02,5.783692144019185122e+01,-1.178398773200002303e+01
1.098669477652355368e+02,5.782214982358266298e+01,-1.178398773200002303e+01
1.098802505569419878e+02,5.780885536863439711e+01,-1.178398773200002303e+01
1.098922230694777937e+02,5.779689035918095641e+01,-1.178398773200002303e+01
