q0 (),q1,q2,q3
4.872744738184850988e-01,-4.791594738697683153e-01,2.907608494353882134e-01,6.696476044916286341e-01
4.850406152387326530e-01,-4.764175914023376368e-01,2.815896481405352203e-01,6.771035003832993615e-01
4.829191969085470104e-01,-4.738134176135491704e-01,2.733776184558598388e-01,6.837796225934015260e-01
4.809205016363651830e-01,-4.713596628362608509e-01,2.660225916679708758e-01,6.897590304439438214e-01
4.790495880859224065e-01,-4.690626048346225874e-01,2.594333265193674021e-01,6.951158996826084513e-01
4.773076337175820028e-01,-4.669237414307928491e-01,2.535284127134848076e-01,6.999164138882396635e-01
4.756929830758825917e-01,-4.649410806028074772e-01,2.482352486164662309e-01,7.042195955556639353e-01
4.742019619195121938e-01,-4.631101424790176613e-01,2.434891024466115106e-01,7.080780693076809129e-01
4.728295058167882869e-01,-4.614247330481855980e-01,2.392322593878926651e-01,7.115387552541508898e-01
4.715696421525111814e-01,-4.598775374993744336e-01,2.354132527771637118e-01,7.146434940028062455e-01
4.704158566533072627e-01,-4.584605714624443440e-01,2.319861749745916191e-01,7.174296068912419111e-01
4.693613692187054709e-01,-4.571655206451504250e-01,2.289100621573179617e-01,7.199303961227940807e-01
4.683993387681532616e-01,-4.559839931169117899e-01,2.261483466763249406e-01,7.221755899767572373e-01
4.675230127468525398e-01,-4.549077034855614210e-01,2.236683705089979601e-01,7.241917383507275874e-01
4.667258336820026554e-01,-4.539286042134855759e-01,2.214409535356864078e-01,7.260025637336567916e-01
4.660015125866333041e-01,-4.530389761277597849e-01,2.194400107398883359e-01,7.276292724063255779e-01
4.653440769409929456e-01,-4.522314876356542390e-01,2.176422128936202627e-01,7.290908302904011151e-01
4.647478993364496658e-01,-4.514992301330298385e-01,2.160266857868568535e-01,7.304042074629535364e-01
4.642077115593603587e-01,-4.508357354845194398e-01,2.145747435577709805e-01,7.315845949485751953e-01
4.637186078543540368e-01,-4.502349801772905780e-01,2.132696521578215931e-01,7.326455970132190743e-01
