ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-9.249268865392128447e+00,-1.056181603596522933e+01,1.674266502864897310e+00
-8.263346989442455381e+00,-9.535476803769091347e+00,1.648196064891354506e+00
-7.385650098971081157e+00,-8.605986254410996850e+00,1.597006107942773312e+00
-6.604059648521896975e+00,-7.764800293833609146e+00,1.528675922870271542e+00
-5.907767300685160983e+00,-7.004002798462962254e+00,1.449301622550935864e+00
-5.287166284848168196e+00,-6.316287918293049586e+00,1.363500611197277390e+00
-4.733737936578864769e+00,-5.694935209903873918e+00,1.274732760917866026e+00
-4.239940065919253875e+00,-5.133780048244077854e+00,1.185554925001542248e+00
-3.799101078814079990e+00,-4.627181206603323105e+00,1.097822247019385911e+00
-3.405321961688735577e+00,-4.169987038304494575e+00,1.012847099488463964e+00
-3.053387055166004949e+00,-3.757501328069230873e+00,9.315243374023116640e-01
-2.738683791374365573e+00,-3.385449591726048091e+00,8.544298087766483141e-01
-2.457131111382583999e+00,-3.049946376654235625e+00,7.818976588547790207e-01
-2.205116018086070273e+00,-2.747463940265587379e+00,7.140808365329260887e-01
-1.979437588213723398e+00,-2.474802549792154416e+00,6.509983091503812602e-01
-1.777257718849607038e+00,-2.229062545214723468e+00,5.925717716230705090e-01
-1.596057887526041386e+00,-2.007618231399177056e+00,5.386540621451201272e-01
-1.433601239371579572e+00,-1.808093609794492851e+00,4.890510401059354195e-01
-1.287899365942623442e+00,-1.628339919891829357e+00,4.435383188196271309e-01
-1.157183199092663761e+00,-1.466414932476536759e+00,4.018739571222433860e-01
-1.039877503752502319e+00,-1.320563917703447609e+00,3.638079846360609548e-01
-9.345785122896729247e-01,-1.189202198975787050e+00,3.290894533789109344e-01
-8.400342981802906284e-01,-1.070899196778814400e+00,2.974715637342930652e-01
-7.551275370496387529e-01,-9.643638636650833096e-01,2.687152979003612496e-01
-6.788603483438848674e-01,-8.684314114667669449e-01,2.425919026891212860e-01
-6.103409510042354658e-01,-7.820512337191156682e-01,2.188844910960802415e-01
-5.487719017792924703e-01,-7.042759296023817228e-01,1.973889745496097414e-01
-4.934397156093286996e-01,-6.342513399789693196e-01,1.779144921164562965e-01
-4.437056942815070792e-01,-5.712075109637603232e-01,1.602834667528502399e-01
-3.989978127335895297e-01,-5.144505056531750720e-01,1.443313900165145158e-01
-3.588035324068289955e-01,-4.633549899560051033e-01,1.299064139567883136e-01
-3.226634283186468610e-01,-4.173575237730390297e-01,1.168688109556421384e-01
-2.901655314077764558e-01,-3.759504939605651241e-01,1.050903481288127661e-01
-2.609403005250445773e-01,-3.386766305138676492e-01,9.445361173913359443e-02
-2.346561494893362465e-01,-3.051240521735489875e-01,8.485130830658270396e-02
-2.110154641513755924e-01,-2.749217921606908477e-01,7.618556223018797813e-02
-1.897510526251011409e-01,-2.477357589707401275e-01,6.836722437412834363e-02
-1.706229789448001355e-01,-2.232650910948424938e-01,6.131520190208003540e-02
-1.534157365464570155e-01,-2.012388681926638723e-01,5.495581642136831979e-02
-1.379357232913460130e-01,-1.814131446192922548e-01,4.922219502362831095e-02
-1.240089843660524688e-01,-1.635682743209219414e-01,4.405369692360355111e-02
-1.114791934058119716e-01,-1.475064989724328701e-01,3.939537697672919336e-02
-1.002058456824569677e-01,-1.330497738488611303e-01,3.519748629927284961e-02
-9.006264024686777558e-02,-1.200378083170917931e-01,3.141500944254245475e-02
-8.093603058038718878e-02,-1.083263000191080211e-01,2.800723702190890257e-02
