ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.999999999999999645e+01,1.199999999999999858e+02,0.000000000000000000e+00
2.999999994051590235e+01,1.200000003875812382e+02,9.250966675240081261e-02
2.999999987238591359e+01,1.200000007902673786e+02,1.843429537447301425e-01
2.999999979608647749e+01,1.200000012062442636e+02,2.755436057113216375e-01
2.999999971212705319e+01,1.200000016339256632e+02,3.661556661632996423e-01
2.999999962102980078e+01,1.200000020719247118e+02,4.562225267176896470e-01
2.999999952331497610e+01,1.200000025190286834e+02,5.457862542004833228e-01
2.999999941949052129e+01,1.200000029741763683e+02,6.348871313321378107e-01
2.999999931004504461e+01,1.200000034364383907e+02,7.235633604620482773e-01
2.999999919544320903e+01,1.200000039049999430e+02,8.118508906977274231e-01
2.999999907612294336e+01,1.200000043791458637e+02,8.997833374141365193e-01
2.999999895249406379e+01,1.200000048582475927e+02,9.873919699725030030e-01
2.999999882493786885e+01,1.200000053417519581e+02,1.074705748887271994e+00
2.999999869380742723e+01,1.200000058291715135e+02,1.161751397946445108e+00
2.999999855942843396e+01,1.200000063200760962e+02,1.248553500149023554e+00
2.999999842210028334e+01,1.200000068140856513e+02,1.335134608961285885e+00
2.999999828209748642e+01,1.200000073108638645e+02,1.421515368460958495e+00
2.999999813967111706e+01,1.200000078101128480e+02,1.507714637554182335e+00
2.999999799505037146e+01,1.200000083115683367e+02,1.593749614709283557e+00
2.999999784844409234e+01,1.200000088149957378e+02,1.679635960628918401e+00
2.999999770004232147e+01,1.200000093201864644e+02,1.765387917037805066e+00
2.999999755001775270e+01,1.200000098269549369e+02,1.851018420344239468e+00
2.999999739852713887e+01,1.200000103351358405e+02,1.936539209377332593e+00
2.999999724571263826e+01,1.200000108445817943e+02,2.021960926738015196e+00
2.999999709170304385e+01,1.200000113551613765e+02,2.107293213553773192e+00
2.999999693661498057e+01,1.200000118667571627e+02,2.192544797613295682e+00
2.999999678055394625e+01,1.200000123792642057e+02,2.277723574992393640e+00
2.999999662361536323e+01,1.200000128925887992e+02,2.362836685378193025e+00
2.999999646588547009e+01,1.200000134066469286e+02,2.447890581363832307e+00
2.999999630744214940e+01,1.200000139213635606e+02,2.532891092027844238e+00
2.999999614835575912e+01,1.200000144366714068e+02,2.617843481136716832e+00
2.999999598868980755e+01,1.200000149525101705e+02,2.702752500320175777e+00
2.999999582850160351e+01,1.200000154688258220e+02,2.787622437569992950e+00
2.999999566784283900e+01,1.200000159855699309e+02,2.872457161407244275e+00
2.999999550676015403e+01,1.200000165026990402e+02,2.957260161052015057e+00
2.999999534529558787e+01,1.200000170201741128e+02,3.042034582915168262e+00
2.999999518348706218e+01,1.200000175379601899e+02,3.126783263715199990e+00
2.999999502136873986e+01,1.200000180560258087e+02,3.211508760505291438e+00
2.999999485897142293e+01,1.200000185743427750e+02,3.296213377877192929e+00
2.999999469632286164e+01,1.200000190928857222e+02,3.380899192590002489e+00
2.999999453344807065e+01,1.200000196116318705e+02,3.465568075853644014e+00
2.999999437036956351e+01,1.200000201305607987e+02,3.550221713479157604e+00
2.999999420710763687e+01,1.200000206496540613e+02,3.634861624090989896e+00
2.999999404368058009e+01,1.200000211688951595e+02,3.719489175580405149e+00
2.999999388010484935e+01,1.200000216882692001e+02,3.804105599964031637e+00
2.999999371639527013e+01,1.200000222077628962e+02,3.888712006797418574e+00
2.999999355256518996e+01,1.200000227273641542e+02,3.973309395280319123e+00
2.999999338862663478e+01,1.200000232470622308e+02,4.057898665178234054e+00
2.999999322459043682e+01,1.200000237668473915e+02,4.142480626673489041e+00
2.999999306046633407e+01,1.200000242867108824e+02,4.227056009248769008e+00
2.999999289626311239e+01,1.200000248066448876e+02,4.311625469696515722e+00
2.999999273198865879e+01,1.200000253266423158e+02,4.396189599338905296e+00
2.999999256765010003e+01,1.200000258466968006e+02,4.480748930535151331e+00
2.999999240325383099e+01,1.200000263668026577e+02,4.565303942545630100e+00
2.999999223880562482e+01,1.200000268869546858e+02,4.649855066815710813e+00
2.999999207431065429e+01,1.200000274071483233e+02,4.734402691736152136e+00
2.999999190977361607e+01,1.200000279273793353e+02,4.818947166931473625e+00
2.999999174519869527e+01,1.200000284476440413e+02,4.903488807122736048e+00
2.999999158058967907e+01,1.200000289679390164e+02,4.988027895606677475e+00
2.999999141594998520e+01,1.200000294882612764e+02,5.072564687389063742e+00
2.999999125128266897e+01,1.200000300086080642e+02,5.157099412006431294e+00
2.999999108659050151e+01,1.200000305289769074e+02,5.241632276067052842e+00
2.999999092187595906e+01,1.200000310493656315e+02,5.326163465538940045e+00
2.999999075714127983e+01,1.200000315697722328e+02,5.410693147809960024e+00
2.999999059238848531e+01,1.200000320901949209e+02,5.495221473542686752e+00
2.999999042761936963e+01,1.200000326106320614e+02,5.579748578344362997e+00
2.999999026283558479e+01,1.200000331310822617e+02,5.664274584270360791e+00
2.999999009803857675e+01,1.200000336515441717e+02,5.748799601177683627e+00
2.999998993322968488e+01,1.200000341720166404e+02,5.833323727943443338e+00
2.999998976841008869e+01,1.200000346924985877e+02,5.917847053561742676e+00
2.999998960358086464e+01,1.200000352129890757e+02,6.002369658131086361e+00
2.999998943874296842e+01,1.200000357334872518e+02,6.086891613743213192e+00
2.999998927389727399e+01,1.200000362539923628e+02,6.171412985283188490e+00
2.999998910904455229e+01,1.200000367745036982e+02,6.255933831149596003e+00
2.999998894418552098e+01,1.200000372950206042e+02,6.340454203902800678e+00
2.999998877932079466e+01,1.200000378155425693e+02,6.424974150848459686e+00
2.999998861445095244e+01,1.200000383360690819e+02,6.509493714562740507e+00
2.999998844957650590e+01,1.200000388565996730e+02,6.594012933365065443e+00
2.999998828469791334e+01,1.200000393771339304e+02,6.678531841743620134e+00
2.999998811981559399e+01,1.200000398976714990e+02,6.763050470738344089e+00
2.999998795492990666e+01,1.200000404182120235e+02,6.847568848285646048e+00
2.999998779004120664e+01,1.200000409387552338e+02,6.932086999528668692e+00
2.999998762514978168e+01,1.200000414593008458e+02,7.016604947096544365e+00
2.999998746025591601e+01,1.200000419798486462e+02,7.101122711355738026e+00
2.999998729535984765e+01,1.200000425003983793e+02,7.185640310636268069e+00
2.999998713046179688e+01,1.200000430209498319e+02,7.270157761435313226e+00
2.999998696556195554e+01,1.200000435415029045e+02,7.354675078600463323e+00
2.999998680066051904e+01,1.200000440620573983e+02,7.439192275494656670e+00
2.999998663575763302e+01,1.200000445826131283e+02,7.523709364144622214e+00
2.999998647085345027e+01,1.200000451031700379e+02,7.608226355374487326e+00
2.999998630594809512e+01,1.200000456237279565e+02,7.692743258926022065e+00
2.999998614104169192e+01,1.200000461442868271e+02,7.777260083566864601e+00
2.999998597613434015e+01,1.200000466648465078e+02,7.861776837187925970e+00
2.999998581122613572e+01,1.200000471854069417e+02,7.946293526891057724e+00
2.999998564631716746e+01,1.200000477059680719e+02,8.030810159067948817e+00
2.999998548140750643e+01,1.200000482265297990e+02,8.115326739471139916e+00
2.999998531649722722e+01,1.200000487470920660e+02,8.199843273277933164e+00
2.999998515158639023e+01,1.200000492676548021e+02,8.284359765147913279e+00
2.999998498667504876e+01,1.200000497882180213e+02,8.368876219274717698e+00
2.999998482176325609e+01,1.200000503087815957e+02,8.453392639432628641e+00
2.999998465685105842e+01,1.200000508293455397e+02,8.537909029018504015e+00
2.999998449193849481e+01,1.200000513499098105e+02,8.622425391089524993e+00
2.999998432702560436e+01,1.200000518704743513e+02,8.706941728397158187e+00
