ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.844479999999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00
